amount,hour,user_age_days,transaction_count,is_fraud
54.24052409058322,9,253,5,0
15.233110751975827,23,358,4,0
73.35987149196552,16,58,1,0
422.44519094832765,20,9,1,0
12.574780374104565,1,13,0,0
12.575193280692009,5,131,6,0
472.68331077763355,4,222,7,0
93.21134654308104,3,329,2,0
7.854222051224876,1,153,3,0
59.449076394063546,11,71,5,0
7.949941851597895,2,345,3,0
7.913265218391754,5,20,3,0
32.58736195548579,23,81,2,0
0.4375516647429579,13,228,1,0
0.6377329448378093,7,346,2,0
6.523590675938883,20,19,4,0
2.6494120814587983,20,165,1,0
37.65608890937427,13,107,0,0
3.267260443659023,2,348,1,0
1.1917139885126695,15,214,4,0
376.64290532598864,14,239,4,0
12.787234889090872,6,147,1,0
22.989932653210055,14,181,2,0
1.16241952185726,12,336,7,0
6.761430979084405,5,198,3,0
25.074344186287455,14,287,2,0
19.850028808321365,1,24,55,1
42.58048444503934,3,240,3,0
6.0419247002189955,21,290,3,0
11.207828422286237,21,287,3,0
6.029033859163687,13,188,5,0
816.1158916968055,14,6,3,0
19.55059167196657,11,283,4,0
2.421962451921633,18,263,2,0
104.07271361448443,21,49,5,0
8.021606703882057,22,29,25,1
30.500015445086333,5,200,3,0
0.3987820516661013,8,60,2,0
1.4100538599450771,1,33,1,0
29.77658873207891,3,303,3,0
87.96448557337116,8,244,3,0
28.296455865722546,14,172,3,0
89.22023597819708,0,28,30,1
10.998870754220995,19,283,4,0
1.0438919827044868,7,22,4,0
21.29642255209329,23,27,79,1
7.9942493990339285,18,349,4,0
166.3750292358428,15,158,7,0
39.93433895213418,10,258,2,0
0.590916645831343,9,143,2,0
38.40424263548006,7,47,2,0
9.298335811692693,0,27,3,0
5.187002614346275,9,27,3,0
68.26195459869275,17,145,5,0
157.9058619458232,2,75,7,0
129.3549580288255,10,187,4,0
3.749284244212719,17,10,2,0
10.821936681496824,2,121,7,0
38.95966432336372,7,289,4,0
141.32896445975604,13,165,3,0
7.703320920894856,5,264,0,0
13.855496965004718,14,161,3,0
2.1975213189535316,13,327,4,0
1.8359953359056247,6,297,4,0
102.00804113036378,9,118,4,0
302.6206549061646,14,311,5,0
79.60305772156481,3,12,68,1
909.7715804273607,1,20,53,1
41.39963440914379,16,146,3,0
5.527637398997847,18,171,2,0
41.379732632246224,16,334,2,0
435.316404316957,11,309,2,0
18.696716529396266,14,14,4,0
459.1088425223237,11,149,3,0
0.10651278988998822,8,251,2,0
103.93908524577091,4,57,2,0
23.905155249094907,3,347,1,0
11.045082420264377,11,302,2,0
24.13158475200146,15,347,4,0
0.3771403690247217,8,133,1,0
12.944308899416203,2,170,5,0
41.02678487441819,20,102,3,0
385.9809783957219,2,106,1,0
7.123930171074397,17,171,4,0
3.9868952461982063,16,128,5,0
7.363135881327532,9,250,2,0
869.8496672062489,3,2,70,1
38.76439688519378,23,216,4,0
6.962089135590417,10,262,0,0
56.06629704031004,23,330,2,0
24.389558214961824,2,244,3,0
139.39198232444568,22,285,6,0
4.932736042201148,22,290,3,0
10.429889836750075,1,263,1,0
9.168591664632913,8,337,4,0
1.075698377071056,18,333,2,0
36.31535135190379,1,314,7,0
33.85580729639269,18,85,7,0
20.292003928135443,1,329,2,0
12.563876264976319,14,45,2,0
1.184426292377473,23,303,3,0
8.65995351233494,20,333,2,0
10.120579923857425,2,200,1,0
4.03677239908838,4,201,1,0
14.547637025283255,10,329,3,0
45.064811701730406,23,168,3,0
873.3809263484809,6,240,5,0
28.478676824873013,5,286,3,0
33.619315956454265,13,190,2,0
